dataset,split_seed,model,n_test_loci,n_test_instances,best_C,acc,mcc,bal_acc,acc_lo,acc_hi,mcc_lo,mcc_hi,bal_lo,bal_hi,dmcc_vs_majority,dmcc_vs_majority_lo,dmcc_vs_majority_hi,dbal_vs_majority,dbal_vs_majority_lo,dbal_vs_majority_hi,dmcc_vs_ref_base,dmcc_vs_ref_base_lo,dmcc_vs_ref_base_hi,dbal_vs_ref_base,dbal_vs_ref_base_lo,dbal_vs_ref_base_hi
rare,45,ref_base,67,2349,,0.5321413367390379,0.40434481308567616,0.3333333333333333,0.4310144790765145,0.6387787377436321,0.3176171615663886,0.4933113001469834,0.3333333333333333,0.3333333333333333,0.40434481308567616,0.3176171615663886,0.4933113001469834,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,45,LR_pm1,67,2349,0.01,0.5321413367390379,0.40434481308567616,0.3333333333333333,0.4310144790765145,0.6387787377436321,0.3176171615663886,0.4933113001469834,0.3333333333333333,0.3333333333333333,0.40434481308567616,0.3176171615663886,0.4933113001469834,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,45,LR_pm2,67,2349,0.01,0.5321413367390379,0.40434481308567616,0.3333333333333333,0.4310144790765145,0.6387787377436321,0.3176171615663886,0.4933113001469834,0.3333333333333333,0.3333333333333333,0.40434481308567616,0.3176171615663886,0.4933113001469834,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,45,LR_pm5,67,2349,0.01,0.5321413367390379,0.40434481308567616,0.3333333333333333,0.4310144790765145,0.6387787377436321,0.3176171615663886,0.4933113001469834,0.3333333333333333,0.3333333333333333,0.40434481308567616,0.3176171615663886,0.4933113001469834,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,45,LR_pm10,67,2349,0.01,0.4946785866326096,0.3377043639988417,0.29866036249014977,0.3886402966681303,0.6090012096719339,0.23860831751099074,0.4421636160839081,0.25503644816898174,0.3333333333333333,0.3377043639988417,0.23860831751099074,0.4421636160839081,0.1319936958234831,0.0883697815023151,0.16666666666666666,-0.06664044908683447,-0.1484757867479738,-0.002448735856192422,-0.03467297084318355,-0.07829688516435156,0.0
rare,46,majority,67,2319,,0.36998706338939197,0.0,0.16666666666666666,0.26282123446704536,0.4762441581407098,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.4327215212690635,-0.5334176677399466,-0.3362558082862016,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
rare,46,ref_base,67,2319,,0.5657611039241052,0.4327215212690635,0.3333333333333333,0.4669081890386781,0.6637060123273592,0.33625580828620155,0.5334176677399466,0.3333333333333333,0.3333333333333333,0.4327215212690635,0.33625580828620155,0.5334176677399466,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,46,LR_pm1,67,2319,0.01,0.5657611039241052,0.4327215212690635,0.3333333333333333,0.4669081890386781,0.6637060123273592,0.33625580828620155,0.5334176677399466,0.3333333333333333,0.3333333333333333,0.4327215212690635,0.33625580828620155,0.5334176677399466,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,46,LR_pm2,67,2319,0.1,0.5657611039241052,0.4327215212690635,0.3333333333333333,0.4669081890386781,0.6637060123273592,0.33625580828620155,0.5334176677399466,0.3333333333333333,0.3333333333333333,0.4327215212690635,0.33625580828620155,0.5334176677399466,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
rare,46,LR_pm5,67,2319,0.1,0.4950409659335921,0.3145146148300697,0.2846176809651536,0.39054280835886523,0.5952153387346467,0.21667611772469014,0.42314767869838465,0.23254238999841342,0.3503442184675289,0.3145146148300697,0.21667611772469014,0.42314767869838465,0.11795101429848695,0.06587572333174675,0.1836775518008622,-0.11820690643899379,-0.2333777211692507,-0.005903921786134078,-0.04871565236817971,-0.1007909433349199,0.017010885134195557
rare,46,LR_pm10,67,2319,0.1,0.5161707632600259,0.35168609450547433,0.37840632336077906,0.4138836230885241,0.6110881785174886,0.2268735133301921,0.4851646671470804,0.2787290479559417,0.4758075667574387,0.35168609450547433,0.2268735133301921,0.4851646671470804,0.2117396566941124,0.11206238128927506,0.30914090009077205,-0.08103542676358916,-0.24367721019971117,0.08284751122685632,0.04507299002744575,-0.0546042853773916,0.14247423342410537
